,"Полож.пед.акселер.,%","Давл.масла двиг.,кПа","Темп.масла двиг.,°С","Обор.двиг.,об/мин",КПП. Температура масла,КПП. Давление масла в системе смазки,Скорость,ДВС. Давление смазки,ДВС. Температура охлаждающей жидкости,"Давление в пневмостистеме (spn46), кПа",Электросистема. Напряжение,ДВС. Частота вращения коленчатого вала,Нейтраль КПП (spn3843),Стояночный тормоз (spn3842),Аварийная температура охлаждающей жидкости (spn3841),Засоренность воздушного фильтра (spn3840),Засоренность фильтра КПП (spn3847),Аварийное давление масла ДВС (spn3846),Засоренность фильтра ДВС (spn3845),Засоренность фильтра рулевого управления (spn3844),Засоренность фильтра навесного оборудования (spn3851),Недопустимый уровень масла в гидробаке (spn3850),Аварийная температура масла в гидросистеме (spn3849),Аварийное давление в I контуре тормозной системы (spn3848),Аварийное давление в II контуре тормозной системы (spn3855),Зарядка АКБ (spn3854),Отопитель (spn3853),Выход блока управления двигателем (spn3852),Включение тормозков (spn3859),Засоренность фильтра слива (spn3858),Аварийная температура масла ДВС(spn3856),Низкий уровень ОЖ (spn3860),Аварийная температура масла ГТР (spn3867),Подогрев топливного фильтра (spn3865)
1698,77.6,408,-273.0,1635.5,-273,1168,10.6,408,84,784,27.85,1635.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,76.4,400,-273.0,1652.75,-273,1168,10.7,400,83,784,27.8,1652.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721,78.0,408,-273.0,1661.0,-273,1168,10.7,408,84,784,27.8,1661.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,78.0,400,-273.0,1657.5,-273,1152,10.7,400,83,768,27.9,1657.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,75.6,408,-273.0,1649.25,-273,1168,10.6,408,83,784,27.75,1649.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,76.4,408,-273.0,1656.25,-273,1168,10.6,408,83,784,27.8,1656.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,78.0,408,-273.0,1649.25,-273,1168,10.7,408,83,784,27.75,1649.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2489,77.6,428,-273.0,1675.25,-273,1184,10.8,428,83,784,27.9,1675.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2762,78.4,400,-273.0,1657.5,-273,1152,10.6,400,84,784,27.9,1657.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2768,75.2,400,-273.0,1628.625,-273,1152,10.7,400,84,784,27.9,1628.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3229,72.8,408,-273.0,1592.125,-273,1184,10.3,408,83,784,27.8,1592.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3266,74.8,408,-273.0,1597.5,-273,1168,10.4,408,83,784,27.8,1597.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3270,73.6,408,-273.0,1593.0,-273,1168,10.5,408,83,784,27.85,1593.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3278,72.0,400,-273.0,1584.5,-273,1168,10.3,400,83,784,27.85,1584.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3286,76.4,408,-273.0,1648.125,-273,1168,0.0,408,83,784,27.85,1648.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3289,75.2,408,-273.0,1624.125,-273,1168,0.0,408,83,784,27.85,1624.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3296,73.2,400,-273.0,1641.125,-273,1168,0.0,400,83,784,27.85,1641.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,73.6,400,-273.0,1606.375,-273,1168,10.5,400,83,784,27.85,1606.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304,76.0,408,-273.0,1641.125,-273,1168,10.6,408,83,784,27.85,1641.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3434,75.6,408,-273.0,1663.375,-273,1152,10.9,408,84,784,27.9,1663.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4007,75.6,400,-273.0,1656.25,-273,1184,0.0,400,83,784,27.9,1656.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4058,75.6,388,-273.0,1610.75,-273,1184,10.4,388,83,784,27.9,1610.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4059,76.8,400,-273.0,1658.625,-273,1200,10.8,400,84,784,27.8,1658.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4075,78.4,400,-273.0,1664.0,-273,1184,10.7,400,84,784,27.8,1664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4090,76.8,400,-273.0,1682.5,-273,1184,9.0,400,84,784,27.9,1682.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4099,73.2,380,-273.0,1636.5,-273,1184,10.5,380,84,784,27.9,1636.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4126,73.6,400,-273.0,1593.25,-273,1184,10.4,400,83,768,27.9,1593.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4127,73.6,404,-273.0,1605.25,-273,1200,10.5,404,84,768,27.9,1605.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4150,77.6,400,-273.0,1666.0,-273,1184,10.8,400,84,768,27.9,1666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4151,77.6,408,-273.0,1674.0,-273,1184,10.9,408,84,768,27.9,1674.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183,78.8,408,-273.0,1663.0,-273,1184,10.9,408,84,784,27.85,1663.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4185,74.0,400,-273.0,1641.125,-273,1168,10.6,400,84,784,27.85,1641.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4189,80.4,408,-273.0,1677.625,-273,1184,10.8,408,84,784,27.9,1677.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4195,75.6,408,-273.0,1627.5,-273,1168,10.9,408,84,784,27.85,1627.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4210,74.8,400,-273.0,1603.0,-273,1168,10.6,400,83,784,27.8,1603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4212,79.2,408,-273.0,1661.0,-273,1168,10.9,408,84,784,27.8,1661.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223,78.0,400,-273.0,1655.0,-273,1168,10.8,400,83,784,27.85,1655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4230,76.8,404,-273.0,1638.0,-273,1184,0.0,404,83,784,27.85,1638.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231,76.0,400,-273.0,1624.125,-273,1168,0.0,400,83,784,27.8,1624.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4232,75.2,400,-273.0,1624.125,-273,1168,0.0,400,84,784,27.85,1624.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4261,73.6,400,-273.0,1585.625,-273,1168,10.5,400,83,776,27.85,1585.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4262,76.8,400,-273.0,1640.0,-273,1168,10.7,400,84,776,27.8,1640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4894,79.6,400,-273.0,1669.25,-273,1184,9.8,400,84,784,27.9,1669.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4901,76.4,388,-273.0,1621.875,-273,1184,0.0,388,83,784,27.9,1621.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4909,75.2,388,-273.0,1624.0,-273,1184,0.0,388,83,768,27.9,1624.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4927,76.0,400,-273.0,1645.75,-273,1184,9.7,400,84,784,27.9,1645.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4941,74.0,400,-273.0,1651.5,-273,1184,9.5,400,84,768,27.9,1651.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5092,71.6,400,-273.0,1600.875,-273,1184,0.0,400,83,784,27.9,1600.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5094,74.8,408,-273.0,1647.0,-273,1184,9.6,408,83,784,27.9,1647.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5164,77.2,400,-273.0,1664.5,-273,1184,0.0,400,84,784,27.9,1664.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5167,75.6,380,-273.0,1629.75,-273,1184,11.6,380,84,784,27.9,1629.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5184,77.6,400,-273.0,1616.25,-273,1184,0.0,400,83,784,27.9,1616.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5185,77.6,400,-273.0,1647.0,-273,1184,9.6,400,84,784,27.9,1647.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5345,73.6,408,-273.0,1613.0,-273,1184,10.5,408,83,784,27.8,1613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5346,72.4,400,-273.0,1593.25,-273,1184,10.4,400,82,784,27.85,1593.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5348,75.6,408,-273.0,1652.75,-273,1184,10.7,408,83,784,27.8,1652.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5349,76.0,408,-273.0,1648.125,-273,1184,10.7,408,83,784,27.8,1648.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5352,75.2,400,-273.0,1636.5,-273,1184,0.0,400,83,784,27.8,1636.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,71.2,400,-273.0,1585.625,-273,1168,10.4,400,83,784,27.85,1585.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5365,76.4,408,-273.0,1627.5,-273,1184,10.5,408,83,784,27.85,1627.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5367,72.8,400,-273.0,1642.0,-273,1168,10.6,400,83,784,27.9,1642.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5368,74.0,400,-273.0,1631.0,-273,1184,0.0,400,82,784,27.9,1631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5370,75.6,400,-273.0,1626.375,-273,1184,0.0,400,83,784,27.9,1626.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5372,74.0,400,-273.0,1606.375,-273,1168,10.4,400,83,784,27.85,1606.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5374,74.8,400,-273.0,1608.5,-273,1168,10.5,400,83,784,27.85,1608.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5375,76.0,400,-273.0,1654.0,-273,1168,10.7,400,83,784,27.8,1654.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5410,75.2,400,-273.0,1632.0,-273,1168,10.6,400,83,784,27.8,1632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,75.2,400,-273.0,1616.25,-273,1168,10.6,400,84,784,27.8,1616.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5430,75.6,400,-273.0,1614.0,-273,1152,10.6,400,84,784,27.9,1614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5436,71.6,388,-273.0,1597.5,-273,1152,10.4,388,83,784,27.9,1597.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5445,74.8,388,-273.0,1620.75,-273,1152,10.5,388,83,784,27.9,1620.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5480,74.4,400,-273.0,1620.75,-273,1184,8.7,400,83,768,27.9,1620.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5484,78.8,400,-273.0,1666.875,-273,1184,9.0,400,84,776,27.9,1666.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5485,75.6,388,-273.0,1635.5,-273,1184,0.0,388,83,768,27.9,1635.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5634,78.8,420,-273.0,1693.375,-273,1200,10.8,420,83,784,27.9,1693.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5637,78.8,420,-273.0,1672.875,-273,1200,10.8,420,83,784,27.85,1672.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5639,78.8,420,-273.0,1683.625,-273,1184,10.9,420,83,784,27.9,1683.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5641,78.8,408,-273.0,1699.5,-273,1184,10.9,408,83,784,27.9,1699.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5648,75.2,408,-273.0,1614.0,-273,1184,10.6,408,83,784,27.9,1614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5649,76.8,420,-273.0,1658.0,-273,1184,10.9,420,83,784,27.85,1658.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5693,77.2,420,-273.0,1647.0,-273,1200,10.7,420,83,768,27.9,1647.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5695,77.2,420,-273.0,1620.75,-273,1184,10.7,420,82,768,27.9,1620.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5696,73.6,400,-273.0,1613.0,-273,1184,10.4,400,83,768,27.9,1613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5698,74.0,400,-273.0,1633.0,-273,1184,10.6,400,83,768,27.9,1633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5700,78.0,408,-273.0,1674.0,-273,1184,10.8,408,83,768,27.9,1674.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5729,77.6,400,-273.0,1643.5,-273,1184,0.0,400,83,784,27.9,1643.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5730,76.8,408,-273.0,1621.875,-273,1184,10.6,408,83,784,27.9,1621.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5731,76.8,408,-273.0,1663.375,-273,1184,10.7,408,83,784,27.9,1663.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5734,78.8,420,-273.0,1691.0,-273,1184,11.0,420,83,784,27.9,1691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5744,79.2,420,-273.0,1687.25,-273,1184,10.9,420,83,784,27.9,1687.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5746,78.0,408,-273.0,1657.5,-273,1184,10.8,408,83,784,27.9,1657.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5748,78.0,408,-273.0,1704.5,-273,1184,10.9,408,83,784,27.9,1704.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5749,78.0,408,-273.0,1689.625,-273,1184,10.8,408,83,784,27.8,1689.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5750,77.6,408,-273.0,1654.0,-273,1168,0.0,408,83,784,27.85,1654.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5753,76.4,400,-273.0,1641.125,-273,1168,0.0,400,83,784,27.85,1641.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5754,77.6,408,-273.0,1657.5,-273,1184,10.8,408,83,784,27.9,1657.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5757,76.8,400,-273.0,1656.25,-273,1184,10.8,400,83,784,27.85,1656.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5758,76.4,400,-273.0,1614.0,-273,1184,10.5,400,83,784,27.9,1614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5760,79.2,420,-273.0,1683.625,-273,1200,11.1,420,83,784,27.9,1683.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5764,74.8,388,-273.0,1615.125,-273,1200,0.0,388,83,784,27.9,1615.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5785,79.6,420,-273.0,1671.625,-273,1184,10.8,420,83,784,27.9,1671.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,79.6,408,-273.0,1636.5,-273,1200,10.7,408,83,784,27.9,1636.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5789,79.6,420,-273.0,1661.0,-273,1184,10.9,420,83,784,27.85,1661.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5791,77.6,420,-273.0,1651.5,-273,1184,10.8,420,83,784,27.85,1651.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5792,76.8,420,-273.0,1662.0,-273,1184,10.9,420,83,784,27.85,1662.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5793,76.8,412,-273.0,1662.125,-273,1184,10.8,412,83,784,27.9,1662.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5794,76.8,412,-273.0,1657.0,-273,1184,10.7,412,83,784,27.9,1657.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5795,76.8,404,-273.0,1629.75,-273,1200,0.0,404,83,784,27.9,1629.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5825,75.2,400,-273.0,1643.5,-273,1200,10.6,400,83,768,27.85,1643.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5826,75.2,400,-273.0,1616.25,-273,1200,10.6,400,84,768,27.9,1616.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5828,77.6,400,-273.0,1640.0,-273,1200,10.7,400,84,768,27.9,1640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5848,76.0,400,-273.0,1668.0,-273,1168,10.6,400,84,768,27.85,1668.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5849,76.0,400,-273.0,1629.75,-273,1168,10.7,400,83,768,27.85,1629.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5888,72.0,400,-273.0,1584.5,-273,1200,9.2,400,83,784,27.9,1584.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5890,70.0,408,-273.0,1636.5,-273,1200,9.4,408,82,784,27.9,1636.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6133,70.8,400,-273.0,1591.0,-273,1184,8.5,400,82,784,27.9,1591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6136,74.4,408,-273.0,1650.5,-273,1184,8.7,408,82,784,27.9,1650.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6167,76.8,420,-273.0,1628.625,-273,1168,10.6,420,82,784,27.9,1628.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6176,72.4,400,-273.0,1584.5,-273,1168,10.3,400,82,784,27.9,1584.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6179,74.0,408,-273.0,1638.875,-273,1168,0.0,408,82,784,27.9,1638.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6180,74.0,408,-273.0,1627.5,-273,1184,10.5,408,82,784,27.9,1627.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6192,75.6,408,-273.0,1620.75,-273,1184,10.5,408,82,768,27.9,1620.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6208,72.0,400,-273.0,1591.0,-273,1168,10.3,400,82,768,27.9,1591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6295,74.8,408,-273.0,1638.875,-273,1184,0.0,408,82,784,27.9,1638.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6300,75.6,408,-273.0,1641.125,-273,1184,8.7,408,82,784,27.9,1641.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6301,74.4,400,-273.0,1641.0,-273,1168,8.7,400,81,784,27.9,1641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6302,74.8,400,-273.0,1607.5,-273,1168,8.7,400,82,784,27.9,1607.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6543,72.0,400,-273.0,1591.0,-273,1184,0.0,400,82,784,27.9,1591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6544,74.8,400,-273.0,1621.0,-273,1184,10.6,400,82,784,27.9,1621.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6546,74.4,400,-273.0,1579.25,-273,1184,10.5,400,82,784,27.9,1579.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6547,78.0,420,-273.0,1647.0,-273,1184,10.8,420,82,784,27.9,1647.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6548,78.0,408,-273.0,1654.0,-273,1184,10.7,408,81,784,27.9,1654.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6550,76.4,408,-273.0,1659.0,-273,1184,10.8,408,82,784,27.9,1659.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6551,78.4,420,-273.0,1666.875,-273,1184,11.0,420,82,784,27.9,1666.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6552,76.8,420,-273.0,1649.0,-273,1184,10.8,420,82,784,27.9,1649.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
